calibration_id,equipment_id,calibration_code,calibration_type,calibration_date,next_calibration_date,calibration_cycle,standard_equipment,standard_certificate,calibration_result,deviation_value,tolerance,is_within_tolerance,calibrator,reviewer,certificate_no,calibration_status,create_date,_airbyte_extracted_at
CAL001,EQ001,CAL-2024-001,外部校准,2024-01-10,2025-01-10,12,标准砝码组,CNAS-2023-001,合格,0.002,0.01,true,计量中心张工,李主任,CERT-CAL-2024-001,有效,2024-01-10 15:00:00,2024-01-10 16:00:00
CAL002,EQ002,CAL-2024-002,外部校准,2024-01-12,2025-01-12,12,pH标准溶液,CNAS-2023-002,合格,0.01,0.05,true,计量中心张工,李主任,CERT-CAL-2024-002,有效,2024-01-12 15:00:00,2024-01-12 16:00:00
CAL003,EQ003,CAL-2024-003,内部校准,2024-01-15,2024-07-15,6,标准温度计,INT-2023-001,合格,0.1,0.5,true,设备部王工,赵主管,CERT-CAL-2024-003,有效,2024-01-15 10:00:00,2024-01-15 11:00:00
CAL004,EQ004,CAL-2024-004,外部校准,2024-01-18,2025-01-18,12,鲎试剂标准品,CNAS-2023-003,合格,0.003,0.01,true,计量中心张工,李主任,CERT-CAL-2024-004,有效,2024-01-18 15:00:00,2024-01-18 16:00:00
CAL005,EQ005,CAL-2024-005,内部校准,2024-01-20,2024-04-20,3,标准压力表,INT-2023-002,合格,0.5,2.0,true,设备部王工,赵主管,CERT-CAL-2024-005,有效,2024-01-20 10:00:00,2024-01-20 11:00:00
CAL006,EQ006,CAL-2024-006,外部校准,2024-01-25,2025-01-25,12,流量标准装置,CNAS-2023-004,合格,0.02,0.1,true,计量中心张工,李主任,CERT-CAL-2024-006,有效,2024-01-25 15:00:00,2024-01-25 16:00:00
CAL007,EQ007,CAL-2024-007,外部校准,2024-02-01,2025-02-01,12,温度标准装置,CNAS-2023-005,合格,0.2,1.0,true,计量中心张工,李主任,CERT-CAL-2024-007,有效,2024-02-01 15:00:00,2024-02-01 16:00:00
CAL008,EQ008,CAL-2024-008,内部校准,2024-02-05,2024-05-05,3,标准砝码,INT-2023-003,合格,0.001,0.005,true,设备部王工,赵主管,CERT-CAL-2024-008,有效,2024-02-05 10:00:00,2024-02-05 11:00:00
CAL009,EQ009,CAL-2024-009,自校准,2024-02-10,2024-08-10,6,内置标准器,自校准,合格,0.0,0.0,true,设备部刘工,赵主管,CERT-CAL-2024-009,有效,2024-02-10 09:00:00,2024-02-10 10:00:00
CAL010,EQ001,CAL-2023-010,外部校准,2023-01-10,2024-01-10,12,标准砝码组,CNAS-2022-001,合格,0.003,0.01,true,计量中心张工,李主任,CERT-CAL-2023-010,过期,2023-01-10 15:00:00,2023-01-10 16:00:00
CAL011,EQ010,CAL-2024-011,外部校准,2024-02-15,2025-02-15,12,电导率标准溶液,CNAS-2023-006,不合格,0.08,0.05,false,计量中心张工,李主任,,待校准,2024-02-15 15:00:00,2024-02-15 16:00:00
CAL012,EQ003,CAL-2024-012,内部校准,2024-07-15,2025-01-15,6,标准温度计,INT-2024-001,合格,0.15,0.5,true,设备部王工,赵主管,CERT-CAL-2024-012,有效,2024-07-15 10:00:00,2024-07-15 11:00:00
CAL013,EQ005,CAL-2024-013,内部校准,2024-04-20,2024-07-20,3,标准压力表,INT-2024-002,限制使用,1.8,2.0,true,设备部王工,赵主管,CERT-CAL-2024-013,有效,2024-04-20 10:00:00,2024-04-20 11:00:00
CAL014,EQ011,CAL-2024-014,外部校准,2024-03-01,2025-03-01,12,微生物标准品,CNAS-2023-007,合格,0.0,0.0,true,计量中心张工,李主任,CERT-CAL-2024-014,有效,2024-03-01 15:00:00,2024-03-01 16:00:00
CAL015,EQ008,CAL-2024-015,内部校准,2024-05-05,2024-08-05,3,标准砝码,INT-2024-003,合格,0.002,0.005,true,设备部王工,赵主管,CERT-CAL-2024-015,有效,2024-05-05 10:00:00,2024-05-05 11:00:00
