training_id,personnel_id,course_code,course_name,course_type,training_date,training_duration,trainer,assessment_score,assessment_result,certificate_no,valid_from,valid_to,training_status,create_date,_airbyte_extracted_at
TR001,P001,GMP001,GMP基础培训,GMP基础,2024-01-10,8.0,张培训师,95,通过,CERT-2024-001,2024-01-10,2026-01-10,已完成,2024-01-10 17:00:00,2024-01-10 18:00:00
TR002,P001,SOP001,生产SOP培训,SOP培训,2024-01-12,4.0,李培训师,88,通过,CERT-2024-002,2024-01-12,2025-01-12,已完成,2024-01-12 12:00:00,2024-01-12 13:00:00
TR003,P002,GMP001,GMP基础培训,GMP基础,2024-01-10,8.0,张培训师,92,通过,CERT-2024-003,2024-01-10,2026-01-10,已完成,2024-01-10 17:00:00,2024-01-10 18:00:00
TR004,P002,SKL001,设备操作技能培训,岗位技能,2024-01-15,6.0,王培训师,90,通过,CERT-2024-004,2024-01-15,2025-07-15,已完成,2024-01-15 16:00:00,2024-01-15 17:00:00
TR005,P003,SAF001,安全生产培训,安全培训,2024-01-08,4.0,赵培训师,85,通过,CERT-2024-005,2024-01-08,2025-01-08,已完成,2024-01-08 12:00:00,2024-01-08 13:00:00
TR006,P003,GMP001,GMP基础培训,GMP基础,2024-01-10,8.0,张培训师,78,通过,CERT-2024-006,2024-01-10,2026-01-10,已完成,2024-01-10 17:00:00,2024-01-10 18:00:00
TR007,P004,QC001,QC检验技能培训,岗位技能,2024-01-18,8.0,钱培训师,96,通过,CERT-2024-007,2024-01-18,2025-07-18,已完成,2024-01-18 17:00:00,2024-01-18 18:00:00
TR008,P004,HPLC01,HPLC操作培训,岗位技能,2024-01-20,6.0,孙培训师,94,通过,CERT-2024-008,2024-01-20,2025-07-20,已完成,2024-01-20 16:00:00,2024-01-20 17:00:00
TR009,P005,GMP001,GMP基础培训,GMP基础,2024-01-10,8.0,张培训师,82,通过,CERT-2024-009,2024-01-10,2026-01-10,已完成,2024-01-10 17:00:00,2024-01-10 18:00:00
TR010,P005,SOP002,仓储SOP培训,SOP培训,2024-01-22,4.0,周培训师,87,通过,CERT-2024-010,2024-01-22,2025-01-22,已完成,2024-01-22 12:00:00,2024-01-22 13:00:00
TR011,P006,GMP002,GMP进阶培训,GMP基础,2024-02-01,8.0,张培训师,91,通过,CERT-2024-011,2024-02-01,2026-02-01,已完成,2024-02-01 17:00:00,2024-02-01 18:00:00
TR012,P006,VAL001,验证培训,岗位技能,2024-02-05,6.0,吴培训师,89,通过,CERT-2024-012,2024-02-05,2025-08-05,已完成,2024-02-05 16:00:00,2024-02-05 17:00:00
TR013,P007,SAF001,安全生产培训,安全培训,2024-01-08,4.0,赵培训师,75,通过,CERT-2024-013,2024-01-08,2025-01-08,已完成,2024-01-08 12:00:00,2024-01-08 13:00:00
TR014,P007,GMP001,GMP基础培训,GMP基础,2024-02-10,8.0,张培训师,68,未通过,,,,进行中,2024-02-10 17:00:00,2024-02-10 18:00:00
TR015,P008,GMP001,GMP基础培训,GMP基础,2024-01-10,8.0,张培训师,93,通过,CERT-2024-015,2024-01-10,2026-01-10,已完成,2024-01-10 17:00:00,2024-01-10 18:00:00
