return_id,return_code,product_id,batch_number,customer_name,return_date,return_quantity,unit,return_reason,return_type,return_status,create_date,_airbyte_extracted_at
RET-2024-001,RT-2024001,P-1001,BAT-2024-001-001,北京同仁堂,2024-01-15,50,盒,包装破损,质量退货,已处理,2024-01-15 10:30:00,2024-02-01 08:00:00
RET-2024-002,RT-2024002,P-1002,BAT-2024-002-003,上海医药集团,2024-01-20,100,瓶,产品过期,质量退货,已处理,2024-01-20 14:15:00,2024-02-01 08:00:00
RET-2024-003,RT-2024003,P-1003,BAT-2024-003-005,广药集团,2024-02-05,25,箱,运输损坏,物流退货,已处理,2024-02-05 09:00:00,2024-02-01 08:00:00
RET-2024-004,RT-2024004,P-1005,BAT-2024-005-002,华润医药,2024-02-10,80,盒,标签错误,质量退货,已处理,2024-02-10 11:30:00,2024-02-01 08:00:00
RET-2024-005,RT-2024005,P-1001,BAT-2024-001-008,国药控股,2024-02-15,200,瓶,客户取消订单,商业退货,已处理,2024-02-15 16:00:00,2024-02-01 08:00:00
RET-2024-006,RT-2024006,P-1008,BAT-2024-008-001,九州通医药,2024-02-20,60,盒,密封不良,质量退货,已处理,2024-02-20 10:45:00,2024-02-01 08:00:00
RET-2024-007,RT-2024007,P-1010,BAT-2024-010-004,南京医药,2024-03-01,150,瓶,含量偏差,质量退货,已处理,2024-03-01 13:20:00,2024-02-01 08:00:00
RET-2024-008,RT-2024008,P-1002,BAT-2024-002-012,华东医药,2024-03-05,40,箱,储存条件异常,质量退货,已处理,2024-03-05 08:30:00,2024-02-01 08:00:00
RET-2024-009,RT-2024009,P-1006,BAT-2024-006-003,上海医药,2024-03-10,120,盒,外观异常,质量退货,已处理,2024-03-10 15:00:00,2024-02-01 08:00:00
RET-2024-010,RT-2024010,P-1015,BAT-2024-015-001,广州医药,2024-03-15,300,瓶,发错货,物流退货,已处理,2024-03-15 11:00:00,2024-02-01 08:00:00
RET-2024-011,RT-2024011,P-1003,BAT-2024-003-015,重庆医药,2024-03-20,75,箱,杂质超标,质量退货,已处理,2024-03-20 09:30:00,2024-02-01 08:00:00
RET-2024-012,RT-2024012,P-1012,BAT-2024-012-002,天津医药集团,2024-03-25,90,盒,冻干异常,质量退货,处理中,2024-03-25 14:00:00,2024-02-01 08:00:00
RET-2024-013,RT-2024013,P-1007,BAT-2024-007-006,云南白药,2024-03-28,180,瓶,压片缺陷,质量退货,已处理,2024-03-28 10:15:00,2024-02-01 08:00:00
RET-2024-014,RT-2024014,P-1004,BAT-2024-004-008,康美药业,2024-04-02,55,盒,溶出度不合格,质量退货,已处理,2024-04-02 16:30:00,2024-02-01 08:00:00
RET-2024-015,RT-2024015,P-1009,BAT-2024-009-003,太极集团,2024-04-08,220,箱,包材相容性,质量退货,处理中,2024-04-08 08:00:00,2024-02-01 08:00:00
